"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Codigo postal";"Seccion de carteria"
"00000127";"CALLE                   ";"DE    ";"ISABEL COLBRAND                                 ";"par  ";"NUM";"000002";"  ";"000012";"  ";"28050";"022"
"00000127";"CALLE                   ";"DE    ";"ISABEL COLBRAND                                 ";"par  ";"NUM";"000014";"  ";"000022";"  ";"28050";"023"
"00000127";"CALLE                   ";"DE    ";"ISABEL COLBRAND                                 ";"par  ";"NUM";"000024";"  ";"009998";"  ";"28050";"024"
"00000150";"CALLE                   ";"DE    ";"GONZALEZ DAVILA                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28031";"002"
"00000150";"CALLE                   ";"DE    ";"GONZALEZ DAVILA                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28031";"002"
"00000200";"CALLE                   ";"DE LA ";"ABADA                                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28013";"007"
"00000200";"CALLE                   ";"DE LA ";"ABADA                                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28013";"007"
"00000300";"CALLE                   ";"DE LOS";"ABADES                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28012";"006"
"00000300";"CALLE                   ";"DE LOS";"ABADES                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28012";"006"
"00000400";"CALLE                   ";"DE LA ";"ABADESA                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28039";"037"
"00000400";"CALLE                   ";"DE LA ";"ABADESA                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28039";"037"
"00000600";"CALLE                   ";"DE    ";"ABALOS                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28043";"027"
"00000600";"CALLE                   ";"DE    ";"ABALOS                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28043";"027"
